timestamp_iso,pc_host,device_name,ip,on,today_kwh,month_kwh,current_power_w,voltage_v,current_a,cloud_connected,rssi,ssid,device_time,firmware,model,alias,mac,today_kwh_delta,month_kwh_delta,power_avg_w_since_last
2026-05-15T17:24:46,SGN-00008,8431,192.168.6.194,True,2.788,41.843,688.3,113.7,6.03,True,-56,Trees-Guest,2026-05-15 17:24:52-07:00,1.2.5 Build 241213 Rel.172504,KP125M,8431,A8:29:48:23:4C:9C,,,
2026-05-15T17:24:46,SGN-00008,8432,192.168.6.133,True,2.051,32.064,800.1,114.9,6.93,True,-65,Trees-Guest,2026-05-15 17:24:53-07:00,1.2.5 Build 241213 Rel.172504,KP125M,8432,A8:29:48:23:52:E1,,,
2026-05-15T17:24:46,SGN-00008,8433,192.168.6.144,True,2.778,17.074,735.3,115.0,6.39,True,-67,Trees-Guest,2026-05-15 17:24:54-07:00,1.2.5 Build 241213 Rel.172504,KP125M,8433,A8:29:48:23:54:40,,,
2026-05-15T17:24:46,SGN-00008,8472,192.168.6.157,True,2.891,36.515,1021.9,113.6,8.96,True,-57,Trees-Guest,2026-05-15 17:24:55-07:00,1.2.5 Build 241213 Rel.172504,KP125M,8472,A8:29:48:23:52:1F,,,
2026-05-15T17:24:46,SGN-00008,8475,192.168.6.61,True,2.903,42.234,1029.5,113.6,9.03,True,-60,Trees-Guest,2026-05-15 17:24:57-07:00,1.2.5 Build 241213 Rel.172504,KP125M,8475,A8:29:48:23:54:DC,,,
2026-05-15T17:24:46,SGN-00008,8480,192.168.6.114,True,2.833,36.698,1026.2,113.6,9.02,True,-52,Trees-Guest,2026-05-15 17:24:57-07:00,1.2.5 Build 241213 Rel.172504,KP125M,8480,A8:29:48:23:5D:DC,,,
2026-05-15T17:24:46,SGN-00008,8631,192.168.6.97,True,2.269,30.259,691.9,114.2,6.05,True,-70,Trees-Guest,2026-05-15 17:24:58-07:00,1.2.5 Build 241213 Rel.172504,KP125M,8631,6C:4C:BC:43:69:C7,,,
2026-05-15T17:24:46,SGN-00008,8632,192.168.6.132,True,1.937,38.01,1.5,115.6,0.09,True,-60,Trees-Guest,2026-05-15 17:24:59-07:00,1.2.5 Build 241213 Rel.172504,KP125M,8632,6C:4C:BC:43:80:FB,,,
2026-05-15T17:24:46,SGN-00008,8633,192.168.6.140,True,1.827,26.426,1.5,115.2,0.09,True,-64,Trees-Guest,2026-05-15 17:25:00-07:00,1.2.5 Build 241213 Rel.172504,KP125M,8633,6C:4C:BC:43:69:D1,,,
2026-05-15T18:04:12,SGN-00008,8431,192.168.6.194,True,2.891,41.946,13.9,116.4,0.26,True,-68,Trees-Guest,2026-05-15 18:04:18-07:00,1.2.5 Build 241213 Rel.172504,KP125M,8431,A8:29:48:23:4C:9C,0.005,0.005,14.2
2026-05-15T18:04:12,SGN-00008,8432,192.168.6.133,True,2.536,32.549,653.6,117.2,5.55,True,-61,Trees-Guest,2026-05-15 18:04:19-07:00,1.2.5 Build 241213 Rel.172504,KP125M,8432,A8:29:48:23:52:E1,0.245,0.245,695.0
2026-05-15T18:04:12,SGN-00008,8433,192.168.6.144,True,3.206,17.502,14.3,118.6,0.27,True,-62,Trees-Guest,2026-05-15 18:04:21-07:00,1.2.5 Build 241213 Rel.172504,KP125M,8433,A8:29:48:23:54:40,0.188,0.188,533.3
2026-05-15T18:04:12,SGN-00008,8472,192.168.6.157,True,3.483,37.107,1020.5,113.5,8.97,True,-54,Trees-Guest,2026-05-15 18:04:22-07:00,1.2.5 Build 241213 Rel.172504,KP125M,8472,A8:29:48:23:52:1F,0.311,0.311,882.3
2026-05-15T18:04:12,SGN-00008,8475,192.168.6.61,True,3.5,42.831,709.3,114.3,6.19,True,-64,Trees-Guest,2026-05-15 18:04:23-07:00,1.2.5 Build 241213 Rel.172504,KP125M,8475,A8:29:48:23:54:DC,0.322,0.322,913.5
2026-05-15T18:04:12,SGN-00008,8480,192.168.6.114,True,3.442,37.307,1025.6,114.5,8.95,True,-68,Trees-Guest,2026-05-15 18:04:24-07:00,1.2.5 Build 241213 Rel.172504,KP125M,8480,A8:29:48:23:5D:DC,0.329,0.329,933.3
2026-05-15T18:04:12,SGN-00008,8631,192.168.6.97,True,2.726,30.716,696.1,115.1,6.04,True,-55,Trees-Guest,2026-05-15 18:04:25-07:00,1.2.5 Build 241213 Rel.172504,KP125M,8631,6C:4C:BC:43:69:C7,0.245,0.245,695.0
2026-05-15T18:04:12,SGN-00008,8632,192.168.6.132,True,1.938,38.011,1.5,116.4,0.09,True,-64,Trees-Guest,2026-05-15 18:04:26-07:00,1.2.5 Build 241213 Rel.172504,KP125M,8632,6C:4C:BC:43:80:FB,0.001,0.001,2.8
2026-05-15T18:04:12,SGN-00008,8633,192.168.6.140,True,1.828,26.427,1.5,115.8,0.09,True,-57,Trees-Guest,2026-05-15 18:04:27-07:00,1.2.5 Build 241213 Rel.172504,KP125M,8633,6C:4C:BC:43:69:D1,0.0,0.0,0.0
2026-05-16T11:14:56,SGN-00008,8431,192.168.6.194,True,0.109,42.126,7.1,118.2,0.24,True,-57,Trees-Guest,2026-05-16 11:15:02-07:00,1.2.5 Build 241213 Rel.172504,KP125M,8431,A8:29:48:23:4C:9C,0.109,0.18,6.3
2026-05-16T11:14:56,SGN-00008,8432,192.168.6.133,True,0.047,33.823,1.4,117.9,0.2,True,-63,Trees-Guest,2026-05-16 11:15:04-07:00,1.2.5 Build 241213 Rel.172504,KP125M,8432,A8:29:48:23:52:E1,0.047,1.274,2.7
2026-05-16T11:14:56,SGN-00008,8433,192.168.6.144,True,0.116,17.691,4.9,117.7,0.23,True,-63,Trees-Guest,2026-05-16 11:15:05-07:00,1.2.5 Build 241213 Rel.172504,KP125M,8433,A8:29:48:23:54:40,0.116,0.189,6.8
