Date,Location,Robot,Item,Version,Robot Time On During Day,Robot Time In Motion During Day,Miles Traveled during day,Utilization,Source
2026-05-01,sierra-gold,8431,114451,,8:19,1:37,3.9,0.194389,Sierra Gold.csv
2026-05-01,sierra-gold,8432,114452,,8:20,1:37,4,0.194,Sierra Gold.csv
2026-05-01,sierra-gold,8472,114448,,8:27,1:30,4.1,0.177515,Sierra Gold.csv
2026-05-01,sierra-gold,8475,114449,,8:28,1:44,4.9,0.204724,Sierra Gold.csv
2026-05-01,sierra-gold,8480,114450,,8:28,1:33,4.1,0.183071,Sierra Gold.csv
2026-05-01,sierra-gold,8631,114393,,11:57,0:41,1.7,0.057183,Sierra Gold.csv
2026-05-01,sierra-gold,8632,114446,,8:18,1:20,3.2,0.160643,Sierra Gold.csv
2026-05-01,sierra-gold,8633,114394,,13:22,0:38,1.5,0.047382,Sierra Gold.csv
2026-05-04,sierra-gold,8431,114711,,8:11,1:49,4.7,0.221996,Sierra Gold.csv
2026-05-04,sierra-gold,8432,114712,,8:22,2:04,5.9,0.247012,Sierra Gold.csv
2026-05-04,sierra-gold,8433,114795,,0:52,0:14,0.7,0.269231,Sierra Gold.csv
2026-05-04,sierra-gold,8472,114707,,8:38,1:36,4,0.185328,Sierra Gold.csv
2026-05-04,sierra-gold,8475,114708,,8:34,1:32,4.3,0.178988,Sierra Gold.csv
2026-05-04,sierra-gold,8480,114709,,8:34,1:22,3.6,0.159533,Sierra Gold.csv
2026-05-04,sierra-gold,8631,114714,,8:21,1:02,2.9,0.123752,Sierra Gold.csv
2026-05-04,sierra-gold,8632,114715,,8:21,1:57,5.6,0.233533,Sierra Gold.csv
2026-05-04,sierra-gold,8633,114716,,8:16,1:05,2.8,0.131048,Sierra Gold.csv
2026-05-05,sierra-gold,8431,114889,,8:22,1:46,5,0.211155,Sierra Gold.csv
2026-05-05,sierra-gold,8432,114890,,8:21,1:53,5.5,0.225549,Sierra Gold.csv
2026-05-05,sierra-gold,8433,114918,,7:12,1:38,4.1,0.226852,Sierra Gold.csv
2026-05-05,sierra-gold,8472,114881,,8:50,0:55,2.5,0.103774,Sierra Gold.csv
2026-05-05,sierra-gold,8475,114882,,8:34,1:04,3,0.124514,Sierra Gold.csv
2026-05-05,sierra-gold,8480,114883,,8:37,0:37,1.6,0.071567,Sierra Gold.csv
2026-05-05,sierra-gold,8631,114891,,8:21,1:57,5.7,0.233533,Sierra Gold.csv
2026-05-05,sierra-gold,8632,114928,,7:19,0:06,0.2,0.013667,Sierra Gold.csv
2026-05-05,sierra-gold,8633,114914,,7:18,1:19,3.9,0.180365,Sierra Gold.csv
2026-05-06,sierra-gold,8431,115052,,5:23,1:10,3.7,0.216718,Sierra Gold.csv
2026-05-06,sierra-gold,8432,115053,,5:24,1:14,3.7,0.228395,Sierra Gold.csv
2026-05-06,sierra-gold,8433,115056,,5:25,0:53,2.4,0.163077,Sierra Gold.csv
2026-05-06,sierra-gold,8472,115047,,5:42,0:48,2.1,0.140351,Sierra Gold.csv
2026-05-06,sierra-gold,8475,115048,,5:42,1:17,3.8,0.225146,Sierra Gold.csv
2026-05-06,sierra-gold,8480,115049,,5:41,0:51,2.3,0.14956,Sierra Gold.csv
2026-05-06,sierra-gold,8631,115057,,5:25,1:01,2.9,0.187692,Sierra Gold.csv
2026-05-06,sierra-gold,8632,115054,,5:24,1:07,3.7,0.20679,Sierra Gold.csv
2026-05-06,sierra-gold,8633,115055,,5:24,0:24,1.1,0.074074,Sierra Gold.csv
